,CGAC AGENCY CODE,AGENCY NAME,AGENCY ABBREVIATION,FREC,FREC Entity Description,FREC ABBREVIATION,SUBTIER CODE,SUBTIER NAME,SUBTIER ABBREVIATION,Admin Org Name,ADMIN_ORG,TOPTIER_FLAG,IS_FREC,FREC CGAC ASSOCIATION,USER SELECTABLE ON USASPENDING.GOV,MISSION,ABOUT AGENCY DATA,WEBSITE,CONGRESSIONAL JUSTIFICATION,ICON FILENAME,COMMENT
888,086,Department of Housing and Urban Development,HUD,8600,Department of Housing and Urban Development,HUD,8600,Department of Housing and Urban Development,HUD,,,True,False,True,True,"HUD's mission is to create strong, sustainable, inclusive communities and quality affordable homes for all. HUD is working to strengthen the housing market to bolster the economy and protect consumers; meet the need for quality affordable rental homes; utilize housing as a platform for improving quality of life; build inclusive and sustainable communities free from discrimination, and transform the way HUD does business.",,https://www.hud.gov/,https://www.hud.gov/cj,DHUD.png,
931,088,National Archives and Records Administration,NARA,8800,National Archives and Records Administration,NARA,8800,National Archives and Records Administration,NARA,,,True,False,True,True,"Our Mission is to provide public access to Federal Government records in our custody and control. Public access to government records strengthens democracy by allowing Americans to claim their rights of citizenship, hold their government accountable, and understand their history so they can participate more effectively in their government.",,https://www.archives.gov/,https://www.archives.gov/cj,,
936,089,Department of Energy,DOE,8900,Department of Energy,DOE,8900,Department of Energy,DOE,,,True,False,True,True,"The mission of the Energy Department is to ensure America's security and prosperity by addressing its energy, environmental and nuclear challenges through transformative science and technology solutions.",,https://energy.gov/,https://energy.gov/cj,DOEnergy.jpg,
1073,090,Selective Service System,SSS,9000,Selective Service System,SSS,9000,Selective Service System,SSS,,,True,False,True,True,"To provide manpower to the Defense Department during a national emergency, to manage alternative service for men classified as conscientious objectors, and to register, with only a few exceptions, all male U.S. citizens and male immigrants residing in the United States who are ages 18 through 25.",,https://www.sss.gov/,https://www.sss.gov/cj,,
1074,091,Department of Education,ED,9100,Department of Education,ED,9100,Department of Education,ED,,,True,False,True,True,ED's mission is to promote student achievement and preparation for global competitiveness by fostering educational excellence and ensuring equal access.,,https://www.ed.gov/,https://www.ed.gov/cj,DOE.jpg,
1131,093,Federal Mediation and Conciliation Service,FMCS,9300,Federal Mediation and Conciliation Service,FMCS,9300,Federal Mediation and Conciliation Service,FMCS,,,True,False,True,True,"FMCS's mission statement reflects the statutory intent of the Agency. Our mission is to: Promote the development of sound and stable labor management relationships; Prevent or minimize work stoppages by assisting labor and management to settle their disputes through mediation; Advocate collective bargaining, mediation and voluntary arbitration as the preferred processes for settling issues between employers and representatives of employees; Develop and advocate the art, science and practice of conflict resolution through the use of ADR; Assist parties in conflict through the provision of conflict resolution services; and Foster the establishment and maintenance of constructive joint processes to improve labor-management relationships, employment security and organizational effectiveness.",,https://www.fmcs.gov/,https://www.fmcs.gov/cj,,
1142,096,Corps of Engineers - Civil Works,USACE,DE00,Department of Defense,DOD,9600,Corps of Engineers - Civil Works,,,,True,False,False,True,"Serve the public by providing the Nation with quality and responsive Development and management of the Nation's water resources; Support of commercial navigation;  Restoration, protection and management of aquatic ecosystems; Flood risk management; and Engineering and technical services in an environmentally sustainable, economic, and technically sound manner with a focus on public safety and collaborative partnerships.",,https://www.usace.army.mil/Missions/Civil-Works/,https://www.usace.army.mil/Missions/Civil-Works/cj,,
1147,097,Department of Defense,DOD,DE00,Department of Defense,DOD,9700,Department of Defense,DOD,DEPARTMENT OF DEFENSE,0.0,True,False,True,True,The mission of the Department of Defense is to provide the military forces needed to deter war and to protect the security of our country.,"For reasons of national security, Department of Defense (including Army, Navy, Air Force, and DOD itself) contract and IDV data is subject to a 90-day publication delay (i.e., DOD procurement awards cannot be published until 90 days have elapsed after the award Action Date). Other DOD data (including financial assistance and account data) are not subject to this delay. Read more about this delay on our About the Data page.",https://www.defense.gov/,https://www.defense.gov/cj,DOD.jpg,
1387,164,Inter-American Foundation,IAF,9537,Inter-American Foundation,IAF,1143,Inter-American Foundation,IAF,,,True,False,True,True,"To identify, support, and partner with the poor, their enterprises and grassroots organizations to create and build thriving communities.",,https://www.iaf.gov/,,,Removed from CGAC = 011 around June 2021 and issued its own non-shared CGAC.
1389,166,African Development Foundation,USADF,9536,African Development Foundation,USADF,1141,African Development Foundation,USADF,,,True,False,True,True,USADF is an independent U.S. Government agency established to support and invest in African owned and led enterprises that improve the lives and livelihoods of people in poor communities in Africa.,,https://www.usadf.gov/,https://www.usadf.gov/cj,,Removed from CGAC = 011 around June 2021 and issued its own non-shared CGAC.
1406,290,Public Buildings Reform Board,PBRB,9581,Public Buildings Reform Board,PBRB,2902,Public Buildings Reform Board,PBRB,,,True,False,True,True,"Reducing the costs of Federal real estate by identifying Federal civilian real properties that can be consolidated, co-located, reconfigured or disposed of; creating the highest value and return for the taxpayer and returning excess properties to communities for reinvestment and redevelopment.",,https://www.pbrb.gov/,https://www.pbrb.gov/cj/,,Added on 7/11/19 due to appearance in the CARS file. Not marking as a TopTier since doesn't have a SubTier and has never submitted. Update on 6/16/20: adding as a TopTier due to agency request. Apparently they want to start submitting. Added website and CJ and mission. Still no SubTier. Leaving user selectable false b/c it just affects award dropdowns and there is no SubTier. 8/3/22: added a SubTier code after it showed up in the award data.
1409,302,Administrative Conference of the U.S.,ACUS,9569,Administrative Conference of the U.S.,ACUS,9515,Administrative Conference of the U.S.,ACUS,,,True,False,True,True,"ACUS is an independent federal agency charged with convening expert representatives from the public and private sectors to recommend improvements to administrative process and procedure. ACUS initiatives promote efficiency, participation, and fairness in the promulgation of federal regulations and in the administration of federal programs.",,https://www.acus.gov/,https://www.acus.gov/cj,,
1410,306,Advisory Council on Historic Preservation,ACHP,9502,Advisory Council on Historic Preservation,ACHP,9530,Advisory Council on Historic Preservation,ACHP,,,True,False,True,True,"The Advisory Council on Historic Preservation promotes the preservation, enhancement, and sustainable use of our nation's diverse historic resources, and advises the President and the Congress on national historic preservation policy.",,https://www.achp.gov/,https://www.achp.gov/sites/default/files/2021-06/ACHP%202022%20Budget%20Justification-final-5-10-21.pdf,,Added FY22 CJ on 11-16-21 (not in standard URL format)
1411,309,Appalachian Regional Commission,ARC,4600,Appalachian Regional Commission,ARC,4602,Appalachian Regional Commission,ARC,,,True,False,True,True,"ARC's mission is to innovate, partner, and invest to build community capacity and strengthen economic growth in Appalachia.",,https://www.arc.gov/,https://www.arc.gov/cj,,Added b/c code in A-11 circular
1412,310,Access Board,USAB,9503,Architectural & Transp. Barriers Compliance Board,USAB,9532,Access Board,USAB,,,True,False,True,True,"Lead the development, advancement, and implementation of accessibility through outreach, rulemaking (standards and guidelines) and education",,https://www.access-board.gov/,https://www.access-board.gov/cj,,
1413,313,Barry Goldwater Scholarship and Excellence In Education Foundation,GOLDWATER,9504,B. Goldwater Scholarship & Excellence in Ed. Fdn.,GOLDWATER,9560,Barry Goldwater Scholarship and Excellence In Education Foundation,GOLDWATER,,,True,False,True,True,"The Goldwater Scholarship Program, one of the oldest and most prestigious national scholarships in the natural sciences, engineering and mathematics in the United States, seeks to identify and support college sophomores and juniors who show exceptional promise of becoming this Nation's next generation of research leaders in these fields.",,https://goldwater.scholarsapply.org/,http://goldwaterscholarship.gov/,,Updated URL 11-16-21
1414,321,Commission for the Preservation of America's Heritage Abroad,HERITAGEABROAD,9506,Comm. for Preservation of American Heritage Abroad,HERITAGEABROAD,9567,Commission for the Preservation of America's Heritage Abroad,HERITAGEABROAD,,,True,False,True,True,,,https://www.heritageabroad.gov/,https://www.heritageabroad.gov/cj,,Still exists; not sure why it isn't in A-11
1416,323,Commission of Fine Arts,CFA,9507,Commission of Fine Arts,CFA,9537,Commission of Fine Arts,CFA,,,True,False,True,True,"The Commission of Fine Arts is an independent federal agency charged with giving expert advice to the President, the Congress and the federal and District of Columbia governments on matters of design and aesthetics, as they affect the federal interest and preserve the dignity of the nation's capital.",,https://www.cfa.gov/,https://www.cfa.gov/cj,,
1417,326,Commission on Civil Rights,USCCR,9508,Commission on Civil Rights,USCCR,9517,Commission on Civil Rights,USCCR,,,True,False,True,True,To inform the development of national civil rights policy and enhance enforcement of federal civil rights laws.,,https://www.usccr.gov/,https://www.usccr.gov/cj/,,
1418,338,Committee for Purchase from People Who Are Blind or Severely Disabled,ABILITYONE,9511,Committee for Purchase from People Who are Blind,ABILITYONE,9518,Committee for Purchase from People Who Are Blind or Severely Disabled,ABILITYONE,,,True,False,True,True,Our mission is to provide employment opportunities for people who are blind or have significant disabilities in the manufacture and delivery of products and services to the Federal Government.,,https://www.abilityone.gov/,https://www.abilityone.gov/cj,,
1419,339,Commodity Futures Trading Commission,CFTC,9512,Commodity Futures Trading Commission,CFTC,9507,Commodity Futures Trading Commission,CFTC,,,True,False,True,True,"The mission of the Commodity Futures Trading Commission (CFTC) is to foster open, transparent, competitive, and financially sound markets. By working to avoid systemic risk, the Commission aims to protect market users and their funds, consumers, and the public from fraud, manipulation, and abusive practices related to derivatives and other products that are subject to the Commodity Exchange Act (CEA).",,https://www.cftc.gov/,https://www.cftc.gov/cj,,
1420,345,United States Court of Appeals for Veterans Claims,CAVC,9538,Court of Appeals for Veterans Claims,CAVC,9593,United States Court of Appeals for Veterans Claims,CAVC,,,True,False,True,True,"The court has jurisdiction to, inter alia, (1) review decisions of the Board of Veterans' Appeals (Board) and may affirm, vacate, reverse, or remand as appropriate in such cases, (2) issue all writs necessary or appropriate in aid of its jurisdiction (28 U.S.C. 1651), (3) set aside rules, and regulations issues or adopted by the Secretary, the Board, or the Board Chairman that are arbitrary or capricious, an abuse of discretion, or otherwise not in accordance with law, contrary to constitutional right, in excess of statutory jurisdiction or authority, or without observance of the procesdures required by law, and (4) compel actions of the Secretary of Veterans Affairs that were unlawfully withheld or unreasonably delayed.",,https://www.uscourts.cavc.gov/,https://www.uscourts.cavc.gov/cj,,
1421,347,Defense Nuclear Facilities Safety Board,DNFSB,9516,Defense Nuclear Facilities Safety Board,DNFSB,9516,Defense Nuclear Facilities Safety Board,DNFSB,,,True,False,True,True,"The mission of the Board shall be to provide independent analysis, advice, and recommendations to the Secretary of Energy to inform the Secretary, in the role of the Secretary as operator and regulator of the defense nuclear facilities of the Department of Energy, in providing adequate protection of public health and safety at such defense nuclear facilities.",,https://www.dnfsb.gov/,https://www.dnfsb.gov/cj,,
1422,349,District of Columbia Courts,DC COURTS,9552,DC Courts,DC COURTS,9534,District of Columbia Courts,,,,True,False,True,True,"Comprised of the Court of Appeals, the Superior Court, and the Court System, the District of Columbia Courts constitute the Judicial Branch of the District of Columbia government. The mission of the District of Columbia Courts is to protect rights and liberties, uphold and interpret the law, and resolve disputes peacefully, fairly, and effectively in the District of Columbia.",,https://www.dccourts.gov/,https://www.dccourts.gov/cj,,"10-24-19 update: Does submit to Broker, but doesn't have a SubTier or seemingly submit contracts or FA (should it?). Needs an icon on the website to go with its new agency page. 2-17-20 update: SubTier registered in FPDS on 12/27/19. Registered Top and Sub in FH on 2/3/20. Added SubTier to our list on 2/17/20."
1432,360,Federal Election Commission,FEC,9518,Federal Election Commission,FEC,9506,Federal Election Commission,FEC,,,True,False,True,True,To protect the integrity of the federal campaign finance process by providing transparency and fairly enforcing and administering federal campaign finance laws.,,https://www.fec.gov/,https://www.fec.gov/cj,,
1433,362,Federal Financial Institutions Examination Council,FFIEC,,,,9562,Federal Financial Institutions Examination Council,FFIEC,,,True,False,False,True,,,,,,
1436,368,Federal Mine Safety and Health Review Commission,FMSHRC,9520,Fed. Mine Safety & Health Review Commission,FMSHRC,9504,Federal Mine Safety and Health Review Commission,MSHFRC,,,True,False,True,True,"The Federal Mine Safety and Health Review Commission (Commission) is an independent adjudicatory agency that provides administrative trial and appellate review of legal disputes arising under the Federal Mine Safety and Health Act of 1977 (Mine Act), as amended. Section 113 of the Mine Act establishes the Commission and sets forth its responsibilities. The Mine Improvement and New Emergency Response Act of 2006, P.L. 109-236 (MINER Act) added an additional responsibility to the Commission, resolving disputes between the Secretary of Labor and underground coal operators with respect to the contents of emergency response plans or the Secretary's refusal to approve such plans.",,https://www.fmshrc.gov/,https://www.fmshrc.gov/cj,,
1437,372,Harry S Truman Scholarship Foundation,TRUMAN,9521,Harry S. Truman Scholarship Trust Fund,TRUMAN,9510,Harry S Truman Scholarship Foundation,TRUMAN,,,True,False,True,True,,,https://www.truman.gov/,,,
1439,376,U.S. Interagency Council on Homelessness,USICH,4838,Interagency Council on the Homeless,USICH,4854,U.S. Interagency Council on Homelessness,USICH,,,True,False,True,True,To coordinate the federal response to homelessness and to create a national partnership at every level of government and with the private sector to reduce and end homelessness in the nation while maximizing the effectiveness of the federal government in contributing to the end of homelessness.,,https://www.usich.gov/,https://www.usich.gov/cj,,This seems redundant with the other entry for CGAC 376
1442,381,James Madison Memorial Fellowship Foundation,MADISON,9522,James Madison Memorial Fellowship Foundation,MADISON,9541,James Madison Memorial Fellowship Foundation,,,,True,False,True,True,,,https://www.jamesmadison.gov/,,,
1443,382,Japan-United States Friendship Commission,JUSFC,9523,Japan-United States Friendship Commission,JUSFC,9512,Japan-United States Friendship Commission,JUSFC,,,True,False,True,True,,,https://www.jusfc.gov/,,,Fixed FREC for this row on 7/11/19 (transposition error). Also fixed FREC CGAC Association column which was TRUE after this fix.
1444,387,Marine Mammal Commission,MMC,9524,Marine Mammal Commission,MMC,9513,Marine Mammal Commission,MMC,,,True,False,True,True,"In 1972, the MMPA established the Marine Mammal Commission to provide independent oversight of the marine mammal conservation policies and programs being carried out by federal regulatory agencies.",,https://www.mmc.gov/,https://www.mmc.gov/cj,,
1445,389,Merit Systems Protection Board,MSPB,4100,Merit Systems Protection Board,MSPB,4100,Merit Systems Protection Board,MSPB,,,True,False,True,True,Protect the Merit System Principles and promote an effective Federal workforce free of Prohibited Personnel Practices.,,https://www.mspb.gov/,https://www.mspb.gov/cj,,
